Device info: 
    Name                          : 	Intel RealSense D435I
    Serial Number                 : 	938422076303
    Firmware Version              : 	5.15.0.2
    Recommended Firmware Version  : 	5.15.0.2
    Physical Port                 : 	/sys/devices/pci0000:00/0000:00:01.2/0000:02:00.0/usb2/2-3/2-3:1.0/video4linux/video2
    Debug Op Code                 : 	15
    Advanced Mode                 : 	YES
    Product Id                    : 	0B3A
    Camera Locked                 : 	YES
    Usb Type Descriptor           : 	3.2
    Product Line                  : 	D400
    Asic Serial Number            : 	926623050310
    Firmware Update Id            : 	926623050310

Stream Profiles supported by Stereo Module
 Supported modes:
    stream       resolution      fps       format   
    Infrared 1	  1280x800	@ 30Hz	   Y8
    Color	  320x240	@ 6Hz	   Y16
    Color	  320x240	@ 6Hz	   Y8
    Color	  320x240	@ 6Hz	   BGRA8
    Color	  320x240	@ 6Hz	   RGBA8
    Color	  320x240	@ 6Hz	   BGR8
    Color	  320x240	@ 6Hz	   YUYV
    Color	  320x180	@ 60Hz	   RGB8
    Color	  320x180	@ 60Hz	   Y16
    Color	  320x180	@ 60Hz	   Y8
    Color	  320x180	@ 60Hz	   BGRA8
    Color	  320x180	@ 60Hz	   RGBA8
    Color	  320x180	@ 60Hz	   BGR8
    Color	  320x180	@ 60Hz	   YUYV
    Color	  320x180	@ 30Hz	   RGB8
    Color	  320x180	@ 30Hz	   Y16
    Color	  320x180	@ 30Hz	   Y8
    Color	  320x180	@ 30Hz	   BGRA8
    Color	  320x180	@ 30Hz	   RGBA8
    Color	  320x180	@ 30Hz	   BGR8
    Color	  320x180	@ 30Hz	   YUYV
    Color	  320x180	@ 6Hz	   RGB8
    Color	  320x180	@ 6Hz	   Y16
    Color	  320x180	@ 6Hz	   Y8
    Color	  320x180	@ 6Hz	   BGRA8
    Color	  320x180	@ 6Hz	   RGBA8
    Color	  320x180	@ 6Hz	   BGR8
    Color	  320x180	@ 6Hz	   YUYV

Stream Profiles supported by Motion Module
 Supported modes:
    stream       resolution      fps       format   
    Accel	 N/A		@ 250Hz	   MOTION_XYZ32F
    Accel	 N/A		@ 63Hz	   MOTION_XYZ32F
    Gyro	 N/A		@ 400Hz	   MOTION_XYZ32F
    Gyro	 N/A		@ 200Hz	   MOTION_XYZ32F

Intrinsic Parameters:

 Intrinsic of "Depth" / 256x144 / {Z16}
  Width:      	256
  Height:     	144
  PPX:        	130.165771484375
  PPY:        	66.5643310546875
  Fx:         	639.683349609375
  Fy:         	639.683349609375
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	22.63 x 12.84

 Intrinsic of "Depth" / 424x240 / {Z16}
  Width:      	424
  Height:     	240
  PPX:        	212.717407226562
  PPY:        	118.199432373047
  Fx:         	211.895111083984
  Fy:         	211.895111083984
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	90.03 x 59.05

 Intrinsic of "Depth" / 480x270 / {Z16}
  Width:      	480
  Height:     	270
  PPX:        	240.812164306641
  PPY:        	132.961624145508
  Fx:         	239.881256103516
  Fy:         	239.881256103516
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	90.03 x 58.74

 Intrinsic of "Depth" / 640x360 / {Z16}
  Width:      	640
  Height:     	360
  PPX:        	321.082885742188
  PPY:        	177.282165527344
  Fx:         	319.841674804688
  Fy:         	319.841674804688
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	90.03 x 58.74

 Intrinsic of "Depth" / 640x480 / {Z16}
  Width:      	640
  Height:     	480
  PPX:        	321.299468994141
  PPY:        	236.73860168457
  Fx:         	383.809997558594
  Fy:         	383.809997558594
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	79.64 x 64.03

 Intrinsic of "Depth" / 848x100 / {Z16}
  Width:      	848
  Height:     	100
  PPX:        	425.434814453125
  PPY:        	46.3988647460938
  Fx:         	423.790222167969
  Fy:         	423.790222167969
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	90.03 x 13.46

 Intrinsic of "Depth" / 848x480 / {Z16}
  Width:      	848
  Height:     	480
  PPX:        	425.434814453125
  PPY:        	236.398864746094
  Fx:         	423.790222167969
  Fy:         	423.790222167969
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	90.03 x 59.05

 Intrinsic of "Depth" / 1280x720 / {Z16}
  Width:      	1280
  Height:     	720
  PPX:        	642.165771484375
  PPY:        	354.564331054688
  Fx:         	639.683349609375
  Fy:         	639.683349609375
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	90.03 x 58.74

 Intrinsic of "Color" / 320x180 / {YUYV/RGB8/BGR8/RGBA8/BGRA8/Y8/Y16}
  Width:      	320
  Height:     	180
  PPX:        	162.650833129883
  PPY:        	90.2325668334961
  Fx:         	228.255996704102
  Fy:         	228.358276367188
  Distortion: 	Inverse Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	70.05 x 43.02

 Intrinsic of "Color" / 320x240 / {YUYV/RGB8/BGR8/RGBA8/BGRA8/Y8/Y16}
  Width:      	320
  Height:     	240
  PPX:        	163.534454345703
  PPY:        	120.310089111328
  Fx:         	304.341339111328
  Fy:         	304.477691650391
  Distortion: 	Inverse Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	55.46 x 43.02

 Intrinsic of "Color" / 424x240 / {YUYV/RGB8/BGR8/RGBA8/BGRA8/Y8/Y16}
  Width:      	424
  Height:     	240
  PPX:        	215.534439086914
  PPY:        	120.310089111328
  Fx:         	304.34130859375
  Fy:         	304.477691650391
  Distortion: 	Inverse Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	69.71 x 43.02

 Intrinsic of "Color" / 640x360 / {YUYV/RGB8/BGR8/RGBA8/BGRA8/Y8/Y16}
  Width:      	640
  Height:     	360
  PPX:        	325.301666259766
  PPY:        	180.465133666992
  Fx:         	456.511993408203
  Fy:         	456.716552734375
  Distortion: 	Inverse Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	70.05 x 43.02

 Intrinsic of "Color" / 640x480 / {YUYV/RGB8/BGR8/RGBA8/BGRA8/Y8/Y16}
  Width:      	640
  Height:     	480
  PPX:        	327.068908691406
  PPY:        	240.620178222656
  Fx:         	608.682678222656
  Fy:         	608.955383300781
  Distortion: 	Inverse Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	55.46 x 43.02

 Intrinsic of "Color" / 848x480 / {YUYV/RGB8/BGR8/RGBA8/BGRA8/Y8/Y16}
  Width:      	848
  Height:     	480
  PPX:        	431.068878173828
  PPY:        	240.620178222656
  Fx:         	608.6826171875
  Fy:         	608.955383300781
  Distortion: 	Inverse Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	69.72 x 43.02

 Intrinsic of "Color" / 960x540 / {YUYV/RGB8/BGR8/RGBA8/BGRA8/Y8/Y16}
  Width:      	960
  Height:     	540
  PPX:        	487.952514648438
  PPY:        	270.697692871094
  Fx:         	684.768005371094
  Fy:         	685.074829101562
  Distortion: 	Inverse Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	70.05 x 43.02

 Intrinsic of "Color" / 1280x720 / {YUYV/RGB8/BGR8/RGBA8/BGRA8/Y8/Y16}
  Width:      	1280
  Height:     	720
  PPX:        	650.603332519531
  PPY:        	360.930267333984
  Fx:         	913.023986816406
  Fy:         	913.43310546875
  Distortion: 	Inverse Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	70.05 x 43.02

 Intrinsic of "Color" / 1920x1080 / {YUYV/RGB8/BGR8/RGBA8/BGRA8/Y8/Y16}
  Width:      	1920
  Height:     	1080
  PPX:        	975.905029296875
  PPY:        	541.395385742188
  Fx:         	1369.53601074219
  Fy:         	1370.14965820312
  Distortion: 	Inverse Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	70.05 x 43.02

 Intrinsic of "Infrared 1" / 424x240 / {Y8}
  Width:      	424
  Height:     	240
  PPX:        	212.717407226562
  PPY:        	118.199432373047
  Fx:         	211.895111083984
  Fy:         	211.895111083984
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	90.03 x 59.05

 Intrinsic of "Infrared 1" / 480x270 / {Y8}
  Width:      	480
  Height:     	270
  PPX:        	240.812164306641
  PPY:        	132.961624145508
  Fx:         	239.881256103516
  Fy:         	239.881256103516
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	90.03 x 58.74

 Intrinsic of "Infrared 1" / 640x360 / {Y8}
  Width:      	640
  Height:     	360
  PPX:        	321.082885742188
  PPY:        	177.282165527344
  Fx:         	319.841674804688
  Fy:         	319.841674804688
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	90.03 x 58.74

 Intrinsic of "Infrared 1" / 640x480 / {Y8}
  Width:      	640
  Height:     	480
  PPX:        	321.299468994141
  PPY:        	236.73860168457
  Fx:         	383.809997558594
  Fy:         	383.809997558594
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	79.64 x 64.03

 Intrinsic of "Infrared 1" / 848x100 / {Y8}
  Width:      	848
  Height:     	100
  PPX:        	425.434814453125
  PPY:        	46.3988647460938
  Fx:         	423.790222167969
  Fy:         	423.790222167969
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	90.03 x 13.46

 Intrinsic of "Infrared 1" / 848x480 / {Y8}
  Width:      	848
  Height:     	480
  PPX:        	425.434814453125
  PPY:        	236.398864746094
  Fx:         	423.790222167969
  Fy:         	423.790222167969
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	90.03 x 59.05

 Intrinsic of "Infrared 1" / 1280x720 / {Y8}
  Width:      	1280
  Height:     	720
  PPX:        	642.165771484375
  PPY:        	354.564331054688
  Fx:         	639.683349609375
  Fy:         	639.683349609375
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	90.03 x 58.74

 Intrinsic of "Infrared 1" / 1280x800 / {Y8}
  Width:      	1280
  Height:     	800
  PPX:        	642.165771484375
  PPY:        	394.564331054688
  Fx:         	639.683349609375
  Fy:         	639.683349609375
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	90.03 x 64.03

 Intrinsic of "Infrared 2" / 424x240 / {Y8}
  Width:      	424
  Height:     	240
  PPX:        	212.717407226562
  PPY:        	118.199432373047
  Fx:         	211.895111083984
  Fy:         	211.895111083984
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	90.03 x 59.05

 Intrinsic of "Infrared 2" / 480x270 / {Y8}
  Width:      	480
  Height:     	270
  PPX:        	240.812164306641
  PPY:        	132.961624145508
  Fx:         	239.881256103516
  Fy:         	239.881256103516
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	90.03 x 58.74

 Intrinsic of "Infrared 2" / 640x360 / {Y8}
  Width:      	640
  Height:     	360
  PPX:        	321.082885742188
  PPY:        	177.282165527344
  Fx:         	319.841674804688
  Fy:         	319.841674804688
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	90.03 x 58.74

 Intrinsic of "Infrared 2" / 640x480 / {Y8}
  Width:      	640
  Height:     	480
  PPX:        	321.299468994141
  PPY:        	236.73860168457
  Fx:         	383.809997558594
  Fy:         	383.809997558594
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	79.64 x 64.03

 Intrinsic of "Infrared 2" / 848x100 / {Y8}
  Width:      	848
  Height:     	100
  PPX:        	425.434814453125
  PPY:        	46.3988647460938
  Fx:         	423.790222167969
  Fy:         	423.790222167969
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
  FOV (deg):  	90.03 x 13.46

 Intrinsic of "Infrared 2" / 848x480 / {Y8}
  Width:      	848
  Height:     	480
  PPX:        	425.434814453125
  PPY:        	236.398864746094
  Fx:         	423.790222167969
  Fy:         	423.790222167969
  Distortion: 	Brown Conrady
  Coeffs:     	0  	0  	0  	0  	0  
